cluster_id,cluster_name,city,region,latitude,longitude,capacity_mw_est,cooling_type,operational_year,temporal_window,core_lst_c,baseline_lst_c,delta_t_lst_c,ndvi_core,ndvi_baseline,delta_ndvi,ndwi_core,ndbi_core,ambient_temp_era5_c,solar_radiation_mj,osm_building_count,builtup_density_ratio
mum_rabale_01,Navi Mumbai - Rabale & Airoli DC Corridor,Navi Mumbai,Maharashtra,19.1412,73.0089,120.0,Chilled Water / Hybrid Free Cooling,2019,2023-01-01 to 2023-12-31,40.64,35.85,4.79,0.235,0.391,-0.156,-0.268,0.073,27.33,0.76,627,0.449
mum_chandivali_01,Mumbai - Chandivali Tech Hub,Mumbai,Maharashtra,19.1128,72.8942,85.0,Air-cooled Chillers,2016,2023-01-01 to 2023-12-31,39.08,37.82,1.26,0.255,0.306,-0.05,-0.296,0.006,27.22,0.77,108,0.209
chn_ambattur_01,Chennai - Ambattur Industrial Cluster,Chennai,Tamil Nadu,13.0982,80.1625,95.0,Water-cooled Centrifugal / Liquid Cooling,2020,2023-01-01 to 2023-12-31,42.5,38.84,3.66,0.256,0.292,-0.036,-0.291,0.068,28.1,0.8,318,0.26
chn_siruseri_01,Chennai - Siruseri SIPCOT IT Corridor,Chennai,Tamil Nadu,12.8285,80.2185,70.0,Direct Evaporative / Chilled Water,2021,2023-01-01 to 2023-12-31,38.38,36.0,2.38,0.351,0.354,-0.003,-0.343,0.005,28.07,0.33,85,0.266
blr_whitefield_01,Bengaluru - Whitefield Export Promotion Industrial Park,Bengaluru,Karnataka,12.9784,77.7289,60.0,Direct Expansion / Air-Cooled Chiller,2017,2023-01-01 to 2023-12-31,34.91,34.38,0.53,0.297,0.313,-0.016,-0.323,0.006,23.32,0.82,125,0.277
hyd_madhapur_01,Hyderabad - HITEC City & Madhapur,Hyderabad,Telangana,17.4474,78.3762,75.0,Chilled Water / Hybrid,2018,2023-01-01 to 2023-12-31,38.49,37.95,0.54,0.261,0.289,-0.028,-0.297,0.034,25.47,0.79,330,0.261
ncr_noida_sec132_01,Noida - Sector 132 / Expressway Corridor,Noida,Uttar Pradesh,28.5085,77.3821,110.0,Chilled Water with Economizer,2022,2023-01-01 to 2023-12-31,32.9,32.83,0.07,0.288,0.351,-0.063,-0.315,-0.016,24.24,0.76,144,0.111
pun_hinjawadi_01,Pune - Hinjawadi Rajiv Gandhi Infotech Park,Pune,Maharashtra,18.5912,73.7389,50.0,Air-cooled Chillers,2019,2023-01-01 to 2023-12-31,38.3,38.64,-0.34,0.201,0.256,-0.055,-0.254,0.046,24.43,0.76,418,0.242
